day,month,year,longitude,latitude,rainfall,temperature,datetime
1,1,2001,29.9,-22.27,0.41735953854897717,29.97446660580844,2001-01-01
1,1,2001,30.5,-22.97,1.9394590457839187,24.973081373131805,2001-01-01
1,1,2001,31.59,-24.99,38.25831600951649,24.66941289487095,2001-01-01
1,1,2002,29.9,-22.27,0.11737215743323759,27.763040161132835,2002-01-01
1,1,2002,30.5,-22.97,0.09173682266805372,23.332627868652356,2002-01-01
1,1,2002,31.59,-24.99,0.0002682938031739468,25.075477854410824,2002-01-01
1,1,2003,29.9,-22.27,0.0006172485313982179,26.8621905008952,2003-01-01
1,1,2003,30.5,-22.97,0.2010224634716451,23.61817321777346,2003-01-01
1,1,2003,31.59,-24.99,0.07459632848139108,24.545920308431008,2003-01-01
1,1,2004,29.9,-22.27,0.08999175977919549,25.45898844401044,2004-01-01
1,1,2004,30.5,-22.97,3.0939911125926756,20.847943878173847,2004-01-01
1,1,2004,31.59,-24.99,0.9344411738183567,23.253803507487003,2004-01-01
1,1,2005,29.9,-22.27,0.0006160383918540902,30.556050872802754,2005-01-01
1,1,2005,30.5,-22.97,0.08074589069906324,26.936577097574887,2005-01-01
1,1,2005,31.59,-24.99,1.0337955947790078,27.499503072102883,2005-01-01
1,1,2006,29.9,-22.27,0.0,26.4524233500163,2006-01-01
1,1,2006,30.5,-22.97,0.08801227212984486,22.832067108154316,2006-01-01
1,1,2006,31.59,-24.99,0.02180541954999171,24.25000279744468,2006-01-01
1,1,2007,29.9,-22.27,6.833006817032583,20.24625549316408,2007-01-01
1,1,2007,30.5,-22.97,36.22790158260541,17.004468536376976,2007-01-01
1,1,2007,31.59,-24.99,1.3201907646873678,19.345605468750012,2007-01-01
1,1,2008,29.9,-22.27,0.04500577870203415,23.746244049072285,2008-01-01
1,1,2008,30.5,-22.97,0.12712102429190963,22.24000066121421,2008-01-01
1,1,2008,31.59,-24.99,0.003687788503015099,25.682415262858083,2008-01-01
1,1,2009,29.9,-22.27,0.573722094486584,24.983663177490254,2009-01-01
1,1,2009,30.5,-22.97,0.6391392237787841,22.57042338053387,2009-01-01
1,1,2009,31.59,-24.99,0.07340692574686614,24.575831349690773,2009-01-01
1,1,2010,29.9,-22.27,0.0005113625149988366,29.518635050455753,2010-01-01
1,1,2010,30.5,-22.97,0.04006542911838551,26.24401372273765,2010-01-01
1,1,2010,31.59,-24.99,0.01271032007466033,29.23772074381512,2010-01-01
1,1,2011,29.9,-22.27,1.6958043507599996,25.078033701578793,2011-01-01
1,1,2011,30.5,-22.97,13.5455699974043,22.093521372477237,2011-01-01
1,1,2011,31.59,-24.99,1.7371168145388083,27.571285502115902,2011-01-01
1,1,2012,29.9,-22.27,0.029096455818944378,27.327045694986996,2012-01-01
1,1,2012,30.5,-22.97,0.06838950000087607,23.735243733723973,2012-01-01
1,1,2012,31.59,-24.99,0.2312202400958086,26.185314432779965,2012-01-01
1,1,2013,29.9,-22.27,10.510359536737926,28.048705037434917,2013-01-01
1,1,2013,30.5,-22.97,32.15467892337603,24.997034962972027,2013-01-01
1,1,2013,31.59,-24.99,24.38821424288998,24.37811177571616,2013-01-01
1,1,2014,29.9,-22.27,1.9642956938525913,23.293422953287777,2014-01-01
1,1,2014,30.5,-22.97,1.07787448905583,21.639407094319683,2014-01-01
1,1,2014,31.59,-24.99,0.0014891465376365431,24.22006251017255,2014-01-01
1,1,2015,29.9,-22.27,0.1879014767496301,22.132319386800145,2015-01-01
1,1,2015,30.5,-22.97,1.7608680454088699,20.06118036905926,2015-01-01
1,1,2015,31.59,-24.99,0.41189938008301397,22.92047526041669,2015-01-01
1,1,2016,29.9,-22.27,0.003213825500836265,30.643449401855488,2016-01-01
1,1,2016,30.5,-22.97,0.2701739525150515,26.849914805094418,2016-01-01
1,1,2016,31.59,-24.99,0.015990535402465866,28.57464752197268,2016-01-01
1,1,2017,29.9,-22.27,0.9825158386149724,26.854857381184914,2017-01-01
1,1,2017,30.5,-22.97,0.9445771987373064,24.537311808268246,2017-01-01
1,1,2017,31.59,-24.99,0.2761853210699883,26.35416946411134,2017-01-01
1,1,2018,29.9,-22.27,1.761359521651627,30.258378601074238,2018-01-01
1,1,2018,30.5,-22.97,1.1390861901077187,26.752297973632835,2018-01-01
1,1,2018,31.59,-24.99,1.3304646415370769,27.961339569091816,2018-01-01
1,1,2019,29.9,-22.27,0.16705232218328092,30.16467564900718,2019-01-01
1,1,2019,30.5,-22.97,1.4301959859039926,26.460733032226585,2019-01-01
1,1,2019,31.59,-24.99,2.9352885645153037,27.478996531168637,2019-01-01
1,1,2020,29.9,-22.27,0.09724498420382588,28.952119445800804,2020-01-01
1,1,2020,30.5,-22.97,1.325840597743877,25.299343363444034,2020-01-01
1,1,2020,31.59,-24.99,0.5257925734838409,26.621158854166683,2020-01-01
1,1,2021,29.9,-22.27,1.1413356405682862,25.635400390625023,2021-01-01
1,1,2021,30.5,-22.97,0.7758238061796874,23.353845214843716,2021-01-01
1,1,2021,31.59,-24.99,0.0,25.956201171875023,2021-01-01
1,2,2001,29.9,-22.27,0.1818337011627591,26.246219889322933,2001-02-01
1,2,2001,30.5,-22.97,0.793075982528535,22.468676503499367,2001-02-01
1,2,2001,31.59,-24.99,0.11740044766384017,24.935934956868508,2001-02-01
1,2,2002,29.9,-22.27,2.202472418730391,25.476612345377628,2002-02-01
1,2,2002,30.5,-22.97,23.626369398697882,21.244027709960957,2002-02-01
1,2,2002,31.59,-24.99,0.5810705599422761,23.903273518880226,2002-02-01
